,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ranking,Fecha
51,Colombia,6.012,1.021,0.866,0.615,0.554,0.1,0.063,52,13/03/2021
52,Hungary,5.992,1.301,1.083,0.615,0.454,0.067,0.04,53,13/03/2021
53,Thailand,5.985,1.107,0.957,0.596,0.611,0.375,0.028,54,13/03/2021
54,Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201,0.176,55,13/03/2021
55,Japan,5.94,1.389,0.949,0.838,0.504,0.02,0.192,56,13/03/2021
56,Argentina,5.929,1.162,0.98,0.646,0.544,0.069,0.067,57,13/03/2021
57,Portugal,5.929,1.323,0.939,0.76,0.621,0.029,0.033,58,13/03/2021
58,Honduras,5.919,0.703,0.787,0.593,0.578,0.241,0.083,59,13/03/2021
59,Croatia,5.882,1.251,1.039,0.703,0.453,0.111,0.0,60,13/03/2021
60,Philippines,5.88,0.853,0.828,0.426,0.651,0.125,0.126,61,13/03/2021
61,South Korea,5.845,1.403,0.758,0.801,0.353,0.134,0.135,62,13/03/2021
62,Peru,5.84,0.986,0.833,0.623,0.536,0.087,0.031,63,13/03/2021
63,Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005,64,13/03/2021
64,Moldova,5.766,0.985,0.888,0.542,0.536,0.137,0.013,65,13/03/2021
65,Ecuador,5.764,0.935,0.806,0.64,0.56,0.107,0.062,66,13/03/2021
66,Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266,0.02,67,13/03/2021
67,Greece,5.723,1.273,0.811,0.76,0.243,0.0,0.074,68,13/03/2021
68,Bolivia,5.716,0.842,0.782,0.486,0.6,0.138,0.064,69,13/03/2021
69,Mongolia,5.677,0.966,1.065,0.442,0.397,0.263,0.053,70,13/03/2021
70,Paraguay,5.653,0.983,0.97,0.549,0.602,0.206,0.037,71,13/03/2021
71,Montenegro,5.581,1.155,0.891,0.637,0.397,0.166,0.081,72,13/03/2021
72,Dominican Republic,5.545,1.106,0.879,0.555,0.581,0.101,0.144,73,13/03/2021
73,North Cyprus,5.536,1.377,0.806,0.801,0.503,0.196,0.2,74,13/03/2021
74,Belarus,5.534,1.124,1.007,0.56,0.326,0.07,0.199,75,13/03/2021
